cible;cercle choisi;resultat;temps de reponse;temps ecoule
Cercle 6;Coords(1053,457);A cote;0.8220177870623502;0.8224079405883629
Cercle 3;Coords(117,679);A cote;25.349366687699103;26.279259668299744
Cercle 14;Cercle 14;Cible;1.890208500341771;28.271352392736503
Cercle 4;Cercle 4;Cible;0.6791059043233645;29.078152141003386
Cercle 11;Cercle 11;Cible;0.6460359827397042;29.86076401168083
Cercle 4;Cercle 4;Cible;0.6119929337493772;30.629834149879684
Cercle 5;Cercle 5;Cible;0.5489189342204099;31.301142317011454
Cercle 10;Cercle 10;Cible;0.685531334948621;32.17349770379673
Cercle 1;Cercle 1;Cible;0.5265349525867009;32.814014921833916
Cercle 3;Cercle 3;Cible;0.5592914385300674;33.57390763166552
Cercle 12;Cercle 12;Cible;0.6402374233949217;34.33241900929721
Cercle 7;Cercle 7;Cible;0.519213112440525;35.0241197750812
Cercle 6;Cercle 6;Cible;0.5889250552409635;35.735344217153454
Cercle 0;Cercle 0;Cible;0.5824832143727576;36.43212108133656
Cercle 13;Cercle 13;Cible;11.480856631092024;48.02230562272359
