cible;cercle choisi;resultat;temps de reponse;temps ecoule
Cercle 6;Cercle 6;Cible;1.1208474905866745;1.1224680020775368
Cercle 6;Cercle 6;Cible;10.480844323409785;11.745939490511187
Cercle 10;Cercle 10;Cible;0.5700266092089343;12.427956982189142
Cercle 3;Cercle 3;Cible;0.6561077693474715;13.227195711018904
Cercle 9;Cercle 9;Cible;0.5313185384053014;13.885827785987457
Cercle 1;Cercle 1;Cible;0.6182874926871857;14.620014670757193
Cercle 12;Cercle 12;Cible;0.5330883831069677;15.26580121780413
Cercle 12;Cercle 12;Cible;0.5592606693245781;15.999211487826472
Cercle 3;Cercle 12;Cercle gris;0.35666350222481924;16.521421931140978
Cercle 11;Cercle 3;Cercle gris;0.47260638145117184;17.126085640134857
Cercle 10;Cercle 11;Cercle gris;0.36072996042669914;17.595726280429716
Cercle 1;Coords(673,425);A cote;0.6346452228552018;18.343925051138417
Cercle 9;Cercle 9;Cible;0.6520683880464517;19.111227806172057
Cercle 4;Cercle 4;Cible;0.7762336195006192;20.005294354630273
